TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
10.96,90.15,35.8,23.53,-2.31,11.48,11.4,10.17,11.92,23.26,23.53,2.43,-0.01,11.61,2.51,0.02,0.5,1668.03,178.04,0.0,103.18,15.1,15.0,1.0,45.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682507022.2,9.07,10.09,10.15,35.22,34.21,25.45,36.68,0.0,46.14,42.52,42.52,35.42,30.72,29.0,28.94,27.61,0.04,9.99,2.18,9.82,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,33.7,26.46,1682507022.21
10.96,90.23,35.73,23.53,-2.23,11.4,11.4,10.25,11.92,23.26,23.53,2.43,-0.02,11.61,2.5,0.02,0.5,1687.32,149.21,0.0,108.25,14.99,15.0,1.0,45.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682507024.21,9.07,10.09,10.21,35.22,34.27,25.39,36.68,0.0,46.14,42.52,42.52,35.48,30.72,29.0,28.88,27.54,0.04,9.97,2.18,9.84,1.0,0.09,9.97,10.0,0.0,0.0,5.0,10.0,33.64,26.53,1682507024.22
10.87,90.32,35.8,23.53,-2.14,11.4,11.22,10.34,11.92,23.35,23.53,2.43,-0.02,11.64,2.51,0.02,0.51,1706.6,168.69,0.0,109.94,14.79,15.0,1.0,45.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682507026.21,9.14,10.21,10.21,35.22,34.27,25.39,36.75,0.0,46.21,42.52,42.52,35.48,30.72,29.0,29.0,27.54,0.04,9.99,2.19,9.84,1.0,0.09,9.97,10.0,0.0,0.0,5.0,10.0,33.57,26.53,1682507026.22
10.96,90.32,35.86,23.53,-2.23,11.4,11.31,10.25,11.84,23.26,23.61,2.43,-0.03,11.61,2.51,0.02,0.5,1751.6,198.3,0.0,108.25,14.81,15.0,1.0,45.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682507028.22,9.07,10.09,10.21,35.29,34.27,25.39,36.75,0.0,46.21,42.59,42.46,35.48,30.72,29.0,28.88,27.54,0.04,10.0,2.19,9.81,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,33.64,26.53,1682507028.23
10.96,90.15,35.8,23.61,-2.23,11.4,11.4,10.17,11.92,23.35,23.53,2.45,0.0,11.63,2.49,0.02,0.5,1799.81,157.39,0.0,99.79,14.7,15.0,1.0,45.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682507030.22,9.14,10.15,10.21,35.35,34.27,25.39,36.75,0.0,46.21,42.59,42.52,35.48,30.72,29.0,28.94,27.54,0.04,9.99,2.18,9.84,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,33.64,26.59,1682507030.23
10.78,90.23,35.8,23.61,-2.31,11.4,11.31,10.08,11.84,23.35,23.53,2.42,0.03,11.63,2.53,0.02,0.5,1761.24,204.92,0.0,104.87,14.9,15.0,1.0,45.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682507032.23,9.2,10.15,10.21,35.35,34.34,25.45,36.81,0.0,46.27,42.52,42.52,35.48,30.78,29.07,28.94,27.54,0.04,10.0,2.18,9.83,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,33.7,26.53,1682507032.24
10.87,90.23,35.8,23.53,-2.14,11.4,11.31,10.17,11.92,23.35,23.61,2.44,0.03,11.62,2.52,0.02,0.51,1671.25,148.43,0.0,108.25,14.81,15.0,1.0,45.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682507034.23,9.07,10.15,10.21,35.29,34.27,25.39,36.75,0.0,46.27,42.65,42.52,35.54,30.78,29.0,28.88,27.67,0.04,10.0,2.18,9.82,1.0,0.13,9.97,10.0,0.0,0.0,5.0,10.0,33.76,26.53,1682507034.24
10.87,90.15,35.86,23.61,-2.31,11.31,11.31,10.17,11.92,23.26,23.7,2.44,-0.01,11.66,2.5,0.02,0.51,1674.46,190.9,0.0,104.87,15.01,15.0,1.0,45.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682507036.24,9.07,10.15,10.21,35.35,34.34,25.39,36.88,0.0,46.27,42.59,42.52,35.48,30.84,29.07,28.94,27.54,0.04,9.99,2.17,9.84,1.0,0.18,9.96,10.0,0.0,0.0,5.0,10.0,33.7,26.53,1682507036.25
10.87,90.23,35.92,23.61,-2.31,11.22,11.31,10.17,11.84,23.26,23.53,2.43,0.02,11.66,2.49,0.02,0.5,1696.96,158.17,0.0,104.87,15.03,15.0,1.0,45.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682507038.24,9.14,10.15,10.15,35.42,34.27,25.51,36.81,0.0,46.27,42.59,42.52,35.61,30.78,29.13,28.94,27.54,0.04,9.99,2.17,9.84,1.0,0.19,9.97,10.0,0.0,0.0,5.0,10.0,33.64,26.53,1682507038.25
10.87,90.23,35.86,23.61,-2.23,11.31,11.31,10.17,11.84,23.26,23.61,2.41,0.06,11.65,2.51,0.02,0.51,1700.18,169.08,0.0,109.94,15.14,15.0,1.0,45.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682507040.25,9.14,10.15,10.15,35.48,34.4,25.39,36.88,0.0,46.33,42.65,42.59,35.48,30.84,29.07,28.88,27.67,0.04,9.99,2.17,9.83,1.0,0.19,9.97,10.0,0.0,0.0,5.0,10.0,33.7,26.53,1682507040.26
