TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
18.52,23.61,21.64,23.0,14.82,18.96,19.48,18.6,18.69,19.83,20.62,1.96,0.0,6.21,2.0,-0.0,0.5,6.35,-0.39,0.0,47.36,28.39,15.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681895140.98,13.77,14.47,12.06,21.7,22.59,17.64,21.51,0.0,22.15,22.78,22.72,21.7,27.92,36.81,36.88,34.53,0.04,10.0,2.18,9.89,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,22.53,22.78,1681895140.99
18.43,23.7,21.64,23.09,14.82,18.96,19.31,18.6,18.78,19.92,20.71,1.97,0.03,6.21,2.0,0.0,0.5,9.57,0.0,0.0,45.67,28.17,15.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681895142.99,13.77,14.47,12.06,21.77,22.53,17.64,21.45,0.0,22.15,22.78,22.66,21.58,27.92,36.81,36.88,34.53,0.04,10.0,2.19,9.87,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,22.47,22.78,1681895143.0
18.52,23.7,21.7,23.0,14.91,18.96,19.39,18.6,18.69,19.92,20.71,1.99,-0.01,6.22,1.99,-0.0,0.5,15.99,-0.78,0.0,43.98,28.53,15.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681895144.99,13.71,14.4,11.99,21.7,22.53,17.64,21.45,0.0,22.08,22.72,22.66,21.58,27.92,36.88,36.88,34.59,0.04,10.0,2.18,9.88,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,22.53,22.78,1681895145.0
18.34,23.7,21.58,23.09,14.82,18.96,19.39,18.6,18.69,19.83,20.71,1.98,0.01,6.21,1.99,0.0,0.5,22.42,-1.17,0.0,50.74,28.26,15.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681895147.01,13.71,14.47,11.99,21.64,22.47,17.58,21.45,0.0,22.08,22.72,22.66,21.51,27.86,36.81,36.94,34.46,0.04,10.0,2.18,9.87,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,22.47,22.72,1681895147.02
18.34,23.53,21.64,23.09,14.91,19.04,19.39,18.6,18.69,19.92,20.71,1.98,-0.01,6.21,1.99,-0.0,0.5,9.57,-0.78,0.0,47.36,28.31,15.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681895149.01,13.71,14.47,12.06,21.58,22.47,17.58,21.39,0.0,22.08,22.78,22.66,21.51,27.86,36.81,36.88,34.46,0.04,10.0,2.17,9.87,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,22.47,22.78,1681895149.02
18.43,23.61,21.58,23.0,14.82,19.22,19.48,18.6,18.6,19.83,20.8,1.98,0.01,6.22,2.0,-0.0,0.5,15.99,-0.39,0.0,47.36,28.39,15.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681895151.01,13.77,14.47,12.12,21.7,22.47,17.64,21.32,0.0,22.02,22.66,22.66,21.51,27.86,36.81,36.88,34.53,0.04,10.0,2.17,9.88,1.0,0.09,9.97,10.0,0.0,0.0,4.0,10.0,22.4,22.78,1681895151.03
18.43,23.61,21.58,22.91,14.82,19.04,19.39,18.6,18.69,19.75,20.8,1.97,-0.02,6.21,2.0,0.0,0.5,12.78,-0.39,0.0,57.51,28.31,15.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681895153.01,13.77,14.47,12.06,21.58,22.4,17.58,21.32,0.0,21.96,22.66,22.59,21.51,27.8,36.88,36.94,34.46,0.04,10.0,2.16,9.89,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,22.4,22.78,1681895153.03
18.43,23.61,21.58,23.09,14.91,19.04,19.39,18.6,18.69,19.83,20.71,1.99,0.0,6.2,1.99,0.0,0.5,3.14,0.0,0.0,54.12,28.39,15.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681895155.02,13.71,14.47,12.06,21.51,22.4,17.58,21.39,0.0,21.96,22.66,22.59,21.51,27.8,36.81,36.88,34.46,0.04,10.0,2.17,9.88,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,22.4,22.78,1681895155.03
18.34,23.61,21.51,23.09,14.91,19.04,19.31,18.69,18.69,19.92,20.71,1.98,0.01,6.22,1.99,-0.0,0.51,22.42,-1.17,0.0,52.43,28.26,15.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681895157.02,13.71,14.53,12.06,21.51,22.4,17.58,21.32,0.0,21.96,22.59,22.59,21.45,27.8,36.88,36.94,34.46,0.04,10.0,2.17,9.88,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,22.4,22.78,1681895157.04
18.43,23.7,21.58,23.0,14.82,18.96,19.48,18.6,18.6,19.83,20.8,1.97,0.02,6.22,1.99,0.0,0.5,25.64,-0.39,0.0,49.05,28.31,15.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1681895159.03,13.71,14.34,12.06,21.51,22.34,17.64,21.26,0.0,21.89,22.53,22.53,21.39,27.8,36.81,36.88,34.46,0.04,10.0,2.19,9.88,1.0,0.1,9.97,10.0,0.0,0.0,4.0,10.0,22.47,22.78,1681895159.04
