TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
21.33,26.25,23.35,23.09,16.67,22.56,22.65,16.23,16.23,23.0,23.79,1.67,0.02,6.91,1.75,0.02,0.52,1449.48,0.0,0.0,93.03,34.93,15.0,1.0,48.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682595590.42,18.91,15.99,9.26,18.97,21.2,22.02,17.13,0.0,25.83,25.13,24.62,14.85,25.0,28.24,28.24,27.61,0.04,8.27,2.14,7.94,1.0,0.09,9.98,10.0,0.0,0.0,0.0,0.0,22.53,23.86,1682595590.54
21.24,26.78,23.35,23.17,15.0,22.29,22.73,16.14,16.23,23.0,23.7,1.67,-0.02,6.9,1.72,0.02,0.51,1356.27,-0.39,0.0,93.03,34.9,15.0,1.0,50.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682595592.42,18.91,15.99,9.26,19.1,21.2,22.02,16.94,0.0,25.96,25.2,24.62,14.91,24.88,28.24,28.24,27.61,0.04,8.39,2.16,8.05,1.0,0.1,9.97,10.0,0.0,0.0,0.0,0.0,22.47,23.93,1682595592.54
21.24,27.57,23.29,23.09,13.51,22.12,22.73,16.14,16.14,23.0,23.7,1.65,0.03,6.91,1.74,0.02,0.52,1700.18,-0.39,0.0,86.26,34.75,15.0,1.0,52.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682595594.43,18.85,16.05,9.26,19.1,21.2,22.02,16.75,0.0,26.02,25.2,24.62,15.1,24.94,28.24,28.24,27.73,0.04,8.48,2.16,8.14,1.0,0.1,9.97,10.0,0.0,0.0,0.0,0.0,22.47,23.86,1682595594.54
21.06,28.36,23.16,23.17,12.01,22.12,22.47,16.05,16.23,23.0,23.79,1.61,0.02,6.88,1.71,0.02,0.52,1629.47,-0.78,0.0,94.72,34.72,15.0,1.0,52.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682595596.43,18.85,16.05,9.26,19.17,21.13,21.96,16.56,0.0,26.02,25.2,24.69,15.23,24.94,28.24,28.18,27.61,0.04,8.62,2.16,8.25,1.0,0.09,9.97,10.0,0.0,0.0,0.0,0.0,22.53,23.86,1682595596.54
20.89,29.15,22.97,23.26,10.52,22.03,22.29,16.14,16.32,22.91,23.79,1.62,-0.02,6.86,1.72,0.02,0.52,1610.18,-0.78,0.0,93.03,34.79,15.0,1.0,52.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682595598.44,18.85,16.05,9.2,19.17,21.13,21.96,16.56,0.0,26.02,25.2,24.69,15.48,24.88,28.24,28.24,27.67,0.04,8.69,2.16,8.37,1.0,0.1,9.97,10.0,0.0,0.0,0.0,0.0,22.53,23.93,1682595598.54
20.89,30.12,22.78,23.17,9.29,21.68,22.38,16.05,16.23,23.0,23.7,1.59,0.02,6.82,1.69,0.02,0.52,1639.11,-0.78,0.0,84.57,35.71,15.0,1.0,52.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682595600.44,18.78,16.05,9.26,19.23,21.13,21.96,16.5,0.0,26.02,25.2,24.75,15.67,24.88,28.31,28.24,27.61,0.04,8.84,2.16,8.48,1.0,0.1,9.97,10.0,0.0,0.0,0.0,0.0,22.47,23.86,1682595600.54
20.62,31.08,22.59,23.26,7.97,21.77,22.38,16.05,16.23,23.0,23.79,1.58,0.0,6.75,1.68,0.02,0.51,1642.32,-0.39,0.0,93.03,35.54,15.0,1.0,52.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682595602.45,18.72,16.05,9.26,19.42,21.13,21.96,16.63,0.0,25.83,25.2,24.69,15.86,24.88,28.31,28.24,27.67,0.04,8.92,2.16,8.6,1.0,0.09,9.97,10.0,0.0,0.0,0.0,0.0,22.4,23.93,1682595602.53
20.54,32.05,22.4,23.17,6.83,21.59,22.29,15.88,16.32,23.0,23.79,1.57,0.03,6.71,1.65,0.02,0.52,1545.9,-0.78,0.0,89.64,35.36,15.0,1.0,52.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682595604.45,18.78,15.99,9.26,19.48,21.13,22.08,17.01,0.0,25.83,25.2,24.69,16.12,24.88,28.31,28.24,27.61,0.04,9.06,2.16,8.65,1.0,0.1,9.97,10.0,0.0,0.0,0.0,0.0,22.4,23.86,1682595604.54
20.54,33.11,22.15,23.09,5.77,21.5,22.21,15.88,16.32,22.91,23.79,1.56,0.03,6.65,1.65,0.02,0.52,1635.89,-0.78,0.0,82.88,35.83,15.0,1.0,52.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682595606.46,18.66,15.99,9.2,19.55,21.07,22.08,17.45,0.0,25.64,25.26,24.69,16.31,24.88,28.31,28.24,27.67,0.04,9.13,2.15,8.73,1.0,0.1,9.97,10.0,0.0,0.0,0.0,10.0,22.34,23.8,1682595606.54
20.36,34.16,21.89,23.35,4.89,21.33,22.21,15.79,16.23,23.09,23.7,1.51,-0.04,6.59,1.59,0.02,0.51,1626.25,-0.39,0.0,87.95,35.19,15.0,1.0,52.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1682595608.47,18.72,16.05,9.2,19.67,21.07,22.02,17.96,0.0,25.51,25.2,24.69,16.5,24.81,28.31,28.24,27.61,0.04,9.27,2.16,8.89,1.0,0.1,9.97,10.0,0.0,0.0,5.0,10.0,22.34,23.86,1682595608.53
