TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
17.29,41.72,34.72,27.48,12.19,18.96,18.34,12.89,13.15,25.72,25.46,2.9,-0.03,10.84,2.91,0.0,0.51,12.78,188.17,0.0,115.02,17.26,15.0,0.0,35.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1682691183.58,22.08,22.4,12.56,27.35,25.26,25.0,44.17,0.0,44.24,42.59,26.78,26.21,43.79,43.16,43.03,43.16,9.95,9.99,2.18,9.82,1.0,0.33,9.97,10.0,0.0,0.0,5.0,0.0,24.18,23.1,1682691183.59
17.29,41.63,34.65,27.57,12.19,18.96,18.52,12.98,12.98,25.72,25.37,2.89,-0.01,10.83,2.9,0.0,0.52,19.21,146.09,0.0,108.25,17.17,15.0,0.0,35.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1682691185.6,22.08,22.4,12.63,27.29,25.26,25.0,44.17,0.0,44.24,42.59,26.78,26.27,43.73,43.16,43.03,43.16,9.94,9.98,2.2,9.84,1.0,0.33,9.97,10.0,0.0,0.0,5.0,0.0,24.12,23.1,1682691185.61
17.29,41.54,34.65,27.48,12.28,18.96,18.52,12.98,13.07,25.63,25.46,2.88,0.01,10.84,2.91,-0.0,0.51,15.99,199.08,0.0,108.25,17.25,15.0,0.0,35.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1682691187.6,22.15,22.47,12.56,27.35,25.2,25.0,44.24,0.0,44.24,42.59,26.78,26.27,43.79,43.16,43.03,43.22,9.94,10.0,2.2,9.82,1.0,0.33,9.98,10.0,0.0,0.0,5.0,0.0,24.12,23.1,1682691187.62
17.37,41.63,34.65,27.48,12.19,18.96,18.43,12.89,12.98,25.63,25.46,2.89,0.02,10.83,2.93,0.0,0.51,12.78,145.71,0.0,106.56,17.34,15.0,0.0,35.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1682691189.61,22.08,22.47,12.56,27.29,25.32,25.07,44.24,0.0,44.24,42.59,26.85,26.27,43.79,43.16,43.1,43.16,9.94,10.0,2.2,9.82,1.0,0.33,9.98,10.0,0.0,0.0,5.0,0.0,24.12,23.16,1682691189.62
17.37,41.54,34.72,27.48,12.28,19.04,18.52,13.07,12.89,25.72,25.46,2.89,0.01,10.83,2.91,-0.0,0.52,3.14,189.34,0.0,113.32,17.25,15.0,0.0,35.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1682691191.61,22.08,22.4,12.56,27.35,25.26,25.0,44.17,0.0,44.24,42.52,26.85,26.27,43.79,43.16,43.03,43.1,9.94,10.0,2.19,9.84,1.0,0.33,9.97,10.0,0.0,0.0,5.0,0.0,24.12,23.1,1682691191.62
17.37,41.37,34.65,27.57,12.36,19.04,18.52,12.89,13.07,25.63,25.55,2.9,0.01,10.83,2.92,0.0,0.51,9.57,157.78,0.0,109.94,17.35,15.0,0.0,35.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1682691193.61,22.08,22.4,12.63,27.29,25.2,25.0,44.17,0.0,44.17,42.59,26.85,26.27,43.79,43.1,43.03,43.16,9.94,10.0,2.19,9.84,1.0,0.33,9.97,10.0,0.0,0.0,5.0,0.0,24.12,23.23,1682691193.63
17.37,41.37,34.59,27.48,12.36,19.04,18.6,12.89,12.98,25.63,25.46,2.9,-0.05,10.83,2.93,0.0,0.51,6.35,158.17,0.0,104.87,17.35,15.0,0.0,35.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1682691195.62,22.15,22.4,12.69,27.35,25.32,25.0,44.17,0.0,44.3,42.59,26.85,26.27,43.73,43.1,43.1,43.16,9.94,9.99,2.19,9.85,1.0,0.33,9.97,10.0,0.0,0.0,5.0,0.0,24.05,23.1,1682691195.63
17.37,41.46,34.65,27.48,12.36,19.04,18.43,12.98,12.98,25.63,25.46,2.9,0.02,10.83,2.92,-0.0,0.51,6.35,188.17,0.0,113.32,17.25,15.0,0.0,35.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1682691197.63,22.15,22.4,12.56,27.35,25.2,25.0,44.17,0.0,44.17,42.59,26.78,26.27,43.86,43.16,43.1,43.22,9.94,10.0,2.19,9.84,1.0,0.33,9.97,10.0,0.0,0.0,5.0,0.0,24.05,23.16,1682691197.64
17.37,41.37,34.59,27.48,12.45,19.04,18.69,12.89,13.07,25.72,25.37,2.9,0.0,10.82,2.92,0.0,0.51,12.78,147.65,0.0,106.56,17.25,15.0,0.0,35.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1682691199.63,22.08,22.4,12.56,27.29,25.2,25.0,44.11,0.0,44.24,42.59,26.72,26.21,43.73,43.1,43.1,43.16,9.94,10.0,2.2,9.82,1.0,0.33,9.97,10.0,0.0,0.0,5.0,0.0,24.12,23.1,1682691199.65
17.46,41.28,34.59,27.48,12.45,19.13,18.6,12.98,12.89,25.63,25.46,2.88,0.0,10.83,2.92,-0.0,0.51,9.57,209.6,0.0,106.56,17.25,15.0,0.0,35.0,10.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1682691201.63,22.08,22.47,12.56,27.35,25.32,25.07,44.17,0.0,44.24,42.52,26.78,26.21,43.79,43.1,43.03,43.16,9.94,9.99,2.17,9.82,1.0,0.33,9.98,10.0,0.0,0.0,5.0,0.0,24.12,23.16,1682691201.64
