TT01x,TT02x,TT02bx,TT03x,TT04x,TT05x,TT06x,TT07x,TT08x,TT09x,TT10x,PT01x,PT02x,PT03x,PT04x,FT01x,FT03x,JT01x,JT02x,JT03x,JT04x,T_shx,T_sh_refx,onx,SC01x,SC02x,SC03x,VC02x,VC03x,VC04x,ErrorMSG,EmergencyShotdown,VC02xPath,WHeat,TimeHP,TT01z,TT02z,TT03z,TT04z,TT05z,TT06z,TT07z,SC01z,TT08z,TT09z,TT10z,TT11z,TT12z,TT13z,TT14z,TT15z,DC01z,DC02z,DC03z,VC01z,VC02z,VC03z,VC04z,SC02z,FC01,FC01ON,FC02,FC02ON,TT16z,TT17z,TimeHVAC
6.3,80.48,40.05,24.32,0.67,6.83,7.97,10.17,11.04,24.05,24.14,2.66,-0.02,12.03,2.64,0.01,0.48,941.65,206.48,0.0,81.19,8.43,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978503.35,17.64,16.5,12.31,18.66,21.83,16.75,41.64,0.0,47.35,43.79,21.83,18.47,41.25,37.83,37.89,37.89,0.04,2.05,2.06,2.08,1.0,0.33,9.96,10.0,5.0,0.0,5.0,0.0,23.16,25.07,1681978503.37
6.04,80.57,40.05,24.14,0.59,6.56,7.62,10.25,11.13,23.96,24.14,2.55,0.0,12.13,2.57,0.01,0.48,1115.21,147.26,0.0,86.26,9.4,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978505.36,17.64,16.5,12.31,18.59,21.83,16.75,41.64,0.0,47.35,43.79,21.77,18.47,41.32,37.83,37.89,37.89,0.04,2.05,2.07,2.06,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.16,25.07,1681978505.37
5.86,80.48,39.99,24.23,0.67,6.21,7.35,10.17,11.13,24.05,24.05,2.52,0.02,12.1,2.53,0.01,0.48,932.01,178.43,0.0,81.19,9.55,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978507.36,17.64,16.5,12.31,18.59,21.83,16.75,41.64,0.0,47.29,43.86,21.77,18.47,41.32,37.83,37.95,37.95,0.04,2.05,2.07,2.07,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.16,25.07,1681978507.37
5.68,80.48,40.05,24.23,0.41,6.04,6.91,10.25,11.04,23.88,24.05,2.48,-0.02,11.88,2.52,0.01,0.48,996.29,179.6,0.0,81.19,9.5,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978509.37,17.71,16.5,12.31,18.66,21.77,16.75,41.7,0.0,47.35,43.92,21.83,18.47,41.25,37.83,37.95,37.95,0.04,2.05,2.07,2.08,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.16,25.07,1681978509.38
5.51,80.48,39.99,24.14,0.41,5.95,6.65,10.34,11.13,23.96,24.14,2.46,0.01,11.97,2.48,0.01,0.48,915.94,157.78,0.0,82.88,9.65,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978511.38,17.58,16.44,12.37,18.59,21.77,16.75,41.7,0.0,47.29,43.86,21.83,18.4,41.25,37.83,37.89,37.89,0.04,2.05,2.07,2.07,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.1,25.07,1681978511.39
5.51,80.39,39.92,24.23,0.23,5.86,6.47,10.25,11.04,23.96,24.14,2.43,-0.05,12.02,2.43,0.01,0.48,906.3,185.44,0.0,84.57,10.0,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978513.38,17.64,16.5,12.31,18.59,21.77,16.75,41.64,0.0,47.22,43.92,21.89,18.47,41.32,37.89,37.89,37.89,0.04,2.05,2.07,2.08,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.16,25.07,1681978513.39
5.42,80.48,39.86,24.14,0.15,5.77,6.39,10.34,11.13,23.96,24.14,2.4,-0.03,11.82,2.42,0.01,0.48,993.08,156.22,0.0,87.95,10.14,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978515.39,17.58,16.56,12.37,18.66,21.77,16.75,41.64,0.0,47.16,43.98,21.89,18.47,41.25,37.83,37.95,37.89,0.04,2.05,2.07,2.07,1.0,0.33,9.96,10.0,5.0,0.0,5.0,0.0,23.1,25.07,1681978515.4
5.33,80.21,39.92,24.23,0.06,5.77,6.3,10.17,11.04,23.96,24.14,2.36,0.0,11.9,2.42,0.01,0.48,970.58,198.3,0.0,86.26,10.36,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978517.39,17.64,16.5,12.37,18.59,21.77,16.75,41.64,0.0,47.09,43.98,21.83,18.4,41.32,37.89,37.89,37.83,0.04,2.05,2.07,2.08,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.1,25.07,1681978517.4
5.42,80.21,39.86,24.23,-0.03,5.77,6.12,10.17,11.04,24.05,24.23,2.37,-0.01,11.9,2.39,0.01,0.48,883.8,139.86,0.0,82.88,10.7,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978519.39,17.64,16.5,12.37,18.59,21.77,16.75,41.64,0.0,47.09,43.92,21.89,18.47,41.32,37.89,37.89,37.89,0.04,2.05,2.07,2.06,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.1,25.07,1681978519.4
5.42,80.21,39.86,24.23,-0.29,5.86,5.95,10.17,11.13,23.96,24.23,2.34,0.0,11.73,2.38,0.01,0.48,864.51,187.78,0.0,87.95,11.02,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978521.39,17.71,16.44,12.37,18.66,21.77,16.69,41.7,0.0,47.03,44.05,21.83,18.47,41.25,37.89,37.89,37.89,0.04,2.04,2.07,2.08,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.1,25.07,1681978521.4
5.51,80.13,39.73,24.32,-0.38,5.77,5.95,10.08,11.04,23.96,24.05,2.34,0.06,11.89,2.37,0.01,0.48,1050.93,176.87,0.0,86.26,10.93,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978523.4,17.58,16.5,12.31,18.59,21.83,16.75,41.7,0.0,46.9,44.05,21.83,18.53,41.25,37.89,37.83,37.95,0.04,2.04,2.07,2.08,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.1,25.13,1681978523.41
5.6,80.21,39.79,24.32,-0.56,5.86,5.86,10.25,10.96,24.05,24.23,2.32,0.01,11.76,2.37,0.01,0.49,906.3,146.48,0.0,91.34,10.81,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978525.41,17.64,16.5,12.31,18.66,21.77,16.75,41.64,0.0,46.84,43.98,21.83,18.53,41.32,37.89,37.89,37.95,0.04,2.04,2.07,2.07,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.04,25.07,1681978525.43
5.6,80.21,39.73,24.32,-0.73,5.86,5.86,10.17,10.96,23.96,24.14,2.33,-0.01,11.77,2.37,0.01,0.48,883.8,187.39,0.0,87.95,11.22,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978527.41,17.64,16.5,12.31,18.59,21.77,16.75,41.64,0.0,46.78,44.05,21.89,18.53,41.32,37.83,37.89,37.89,0.04,2.04,2.07,2.07,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.1,25.07,1681978527.43
5.77,80.13,39.73,24.23,-0.91,5.86,5.86,10.17,10.96,23.96,24.05,2.32,0.02,11.86,2.37,0.01,0.49,899.87,157.78,0.0,82.88,11.31,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978529.42,17.58,16.5,12.25,18.59,21.77,16.75,41.64,0.0,46.71,44.11,21.83,18.53,41.38,37.89,37.89,37.83,0.04,2.04,2.07,2.06,1.0,0.33,9.96,10.0,5.0,0.0,5.0,0.0,23.1,25.07,1681978529.44
5.86,79.95,39.67,24.23,-1.08,6.12,5.86,10.17,10.87,23.96,24.05,2.31,0.0,11.69,2.34,0.01,0.49,906.3,209.6,0.0,87.95,11.39,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978531.42,17.71,16.5,12.25,18.66,21.77,16.75,41.64,0.0,46.71,44.05,21.83,18.47,41.32,37.89,37.89,37.95,0.04,2.07,2.07,2.07,1.0,0.33,9.96,10.0,5.0,0.0,5.0,0.0,23.04,25.07,1681978531.43
5.95,80.13,39.67,24.23,-1.17,6.12,5.77,10.17,10.96,23.96,24.14,2.33,0.01,11.85,2.35,0.01,0.49,1063.79,136.36,0.0,86.26,11.37,15.0,1.0,35.0,10.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,1681978533.42,17.58,16.5,12.18,18.59,21.83,16.75,41.64,0.0,46.65,44.05,21.89,18.47,41.32,37.89,37.83,37.95,0.04,2.07,2.07,2.08,1.0,0.33,9.97,10.0,5.0,0.0,5.0,0.0,23.1,25.07,1681978533.43
